Projection_ID,Category,Metric,Current_Value,Projected_Value,Target_Year,Geographic_Scope,Source_Name,Source_URL,Confidence,Notes
32,Market Size,Global Video Streaming Market,$364.7B (2026),$2.23T,2035,Global,Yahoo Finance,https://sg.finance.yahoo.com/news/global-video-streaming-market-reach-160300466.html,Medium,Robust CAGR projected through 2035.
33,Market Size,AI in Media & Entertainment,$25.98B (2024),$99.48B,2030,Global,Grand View Research,https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-ai-media-entertainment-market-report,High,Significant growth in AI-driven content and personalization.
34,Business Model,AI-Driven Cost Reduction,0%,10-30%,2030,Global,Morgan Stanley,https://www.morganstanley.com/insights/articles/ai-in-media-entertainment-benefits-and-risks,Medium,GenAI to drive significant production efficiencies.
35,Market Size,Sports Media Rights Revenue,$22B (2015),$96.3B,2035,Global,TM Broadcast,https://tmbroadcast.com/top-sports-leagues-grow-media-rights/,High,Top 17 leagues projected to see massive rights growth.
36,Technology,AI-Addressable Content Spend,$0,$10B,2030,US,McKinsey,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/what-ai-could-mean-for-film-and-tv-production-and-the-industrys-future,Medium,AI to impact a significant portion of original content spend.
37,Market Size,Streaming Devices Market,$17.59B (2025),$61.31B,2035,Global,Research Nester,https://www.researchnester.com/reports/streaming-devices-market/6780,Medium,13.3% CAGR for hardware.

23,Market Size,OTT Video Revenue,$169B (2024),$230B,2029,Global,PwC,https://www.pwc.com/gx/en/issues/business-model-reinvention/outlook/insights-and-perspectives.html,High,Rapid growth projected.
24,Business Model,AVOD Revenue Share,20% (2020),27.1%,2029,Global,PwC,https://www.pwc.com/gx/en/issues/business-model-reinvention/outlook/insights-and-perspectives.html,High,Shift toward ad-supported models.
25,Market Share,OTT vs. Pay TV Revenue,OTT < Pay TV,OTT > Pay TV,2027,Global,PwC,https://www.pwc.com/gx/en/issues/business-model-reinvention/outlook/insights-and-perspectives.html,High,First time OTT revenue exceeds traditional pay TV.
