Data Point ID,Category,Metric/Finding,Value,Unit,Year,Source Name,Source URL,Source Tier,Confidence,Notes,Date Added
D1-GH-001,AV1 Codec,Bandwidth savings vs H.264,46,percent,2018,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining (blog/av1-cloudflare-stream-beta.html),2,HIGH,"Meta/Facebook engineering research showing AV1 uses 46% less bandwidth than H.264, the most commonly used codec on web",2026-02-17
D1-GH-002,Video Compression,Uncompressed 4K video bandwidth,8.2,megabytes per frame,2023,Xe Iaso - Video Compression Blog,https://github.com/Xe/site (lume/src/blog/video-compression.mdx),3,MEDIUM,"4K photo = 8,294,400 bytes (3 bytes per pixel for RGB). 30fps video would be ~15GB per minute uncompressed",2026-02-17
D1-GH-003,Video Compression,Typical video compression ratio,99,percent reduction,2023,Xe Iaso - Video Compression Blog,https://github.com/Xe/site (lume/src/blog/video-compression.mdx),3,MEDIUM,"Modern codecs compress video to 1% of original size with minimal perceptible quality loss",2026-02-17
D1-GH-004,AV1 Hardware Support,Google Pixel 6 AV1 decoding,Hardware accelerated,boolean,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,HIGH,"Google Pixel 6 includes hardware-accelerated AV1 decoding in Tensor chip, uses minimal battery/CPU",2026-02-17
D1-GH-005,AV1 Hardware Support,Samsung Exynos 2200 AV1 support,Hardware accelerated,boolean,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,HIGH,Samsung Exynos 2200 chipset supports hardware-accelerated AV1 decoding,2026-02-17
D1-GH-006,AV1 Hardware Support,MediaTek Dimensity 1000 AV1 support,Hardware accelerated,boolean,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,HIGH,MediaTek Dimensity 1000 SoC supports hardware-accelerated AV1 decoding,2026-02-17
D1-GH-007,AV1 Adoption,Android 14 AV1 requirement,Mandatory for Android 14,boolean,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,HIGH,"Google appears to require all Android 14 devices support AV1 decoding (referenced with CTS commit)",2026-02-17
D1-GH-008,AV1 Adoption,iOS/tvOS AV1 support status,AVPlayer API includes AV1 option,boolean,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,MEDIUM,"AVPlayer (iOS/tvOS media API) includes kcmvideocodectype_av1 option, hints at future support",2026-02-17
D1-GH-009,AV1 Encoding,CPU encoding time for 2sec 4K video,30,minutes per 2 seconds,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,HIGH,"Single core AMD EPYC 7642 took 30+ minutes to encode 2 seconds of 4K@30fps using libaom-av1",2026-02-17
D1-GH-010,AV1 Encoding,Multi-core encoding capacity requirement,20+,servers for real-time,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,MEDIUM,"Live encoding with CPUs only would require 20+ servers at full capacity even with 48-core processors",2026-02-17
D1-GH-011,Video Display,VR headset resolution,22.1,million pixels per frame,2022,Cloudflare Blog - AV1 Stream Beta,https://github.com/Cloudflare-Mining/Cloudflare-Datamining,2,HIGH,VR headsets support 5760x3840 resolution = 22.1 million pixels per frame,2026-02-17
